v8-version,3,32,7,0,0
code-creation,Stub,2,0x16d0a000,277,"CEntryStub"
code-creation,Stub,2,0x16d0a120,97,"StoreBufferOverflowStub"
code-creation,Stub,2,0x16d0a1a0,197,"StoreBufferOverflowStub"
code-creation,Stub,2,0x16d0a280,357,"CEntryStub"
code-creation,Stub,2,0x16d0a400,79,"StubFailureTrampolineStub"
code-creation,Stub,2,0x16d0a460,80,"StubFailureTrampolineStub"
code-creation,Stub,2,0x16d0a4c0,273,"ArrayNoArgumentConstructorStub_FAST_SMI_ELEMENTS"
code-creation,Stub,2,0x16d0a5e0,249,"ArrayNoArgumentConstructorStub_FAST_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x16d0a6e0,285,"ArrayNoArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS"
code-creation,Stub,2,0x16d0a800,261,"ArrayNoArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x16d0a920,293,"ArrayNoArgumentConstructorStub_FAST_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x16d0aa60,293,"ArrayNoArgumentConstructorStub_FAST_HOLEY_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x16d0aba0,261,"ArrayNoArgumentConstructorStub_FAST_ELEMENTS"
code-creation,Stub,2,0x16d0acc0,261,"ArrayNoArgumentConstructorStub_FAST_HOLEY_ELEMENTS"
code-creation,Stub,2,0x16d0ade0,418,"ArraySingleArgumentConstructorStub_FAST_SMI_ELEMENTS"
code-creation,Stub,2,0x16d0afa0,394,"ArraySingleArgumentConstructorStub_FAST_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x16d0b140,430,"ArraySingleArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS"
code-creation,Stub,2,0x16d0b300,406,"ArraySingleArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x16d0b4a0,446,"ArraySingleArgumentConstructorStub_FAST_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x16d0b660,446,"ArraySingleArgumentConstructorStub_FAST_HOLEY_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x16d0b820,406,"ArraySingleArgumentConstructorStub_FAST_ELEMENTS"
code-creation,Stub,2,0x16d0b9c0,406,"ArraySingleArgumentConstructorStub_FAST_HOLEY_ELEMENTS"
code-creation,Stub,2,0x16d0bb60,398,"ArrayNArgumentsConstructorStub_FAST_SMI_ELEMENTS"
code-creation,Stub,2,0x16d0bd00,374,"ArrayNArgumentsConstructorStub_FAST_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x16d0be80,410,"ArrayNArgumentsConstructorStub_FAST_HOLEY_SMI_ELEMENTS"
code-creation,Stub,2,0x16d0c020,386,"ArrayNArgumentsConstructorStub_FAST_HOLEY_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x16d0c1c0,422,"ArrayNArgumentsConstructorStub_FAST_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x16d0c380,422,"ArrayNArgumentsConstructorStub_FAST_HOLEY_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x16d0c540,346,"ArrayNArgumentsConstructorStub_FAST_ELEMENTS"
code-creation,Stub,2,0x16d0c6a0,346,"ArrayNArgumentsConstructorStub_FAST_HOLEY_ELEMENTS"
code-creation,Stub,2,0x16d0c800,1800,"RecordWriteStub"
code-creation,Stub,2,0x16d0cf20,1789,"RecordWriteStub"
code-creation,Stub,2,0x16d0d620,349,"CreateAllocationSiteStub"
code-creation,Stub,11,0x16d0d780,94,"BinaryOpICStub(BIT_OR:None*None->None)"
code-creation,Stub,11,0x16d0d7e0,94,"BinaryOpICStub(BIT_OR_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x16d0d840,94,"BinaryOpICStub(BIT_OR_ReuseRight:None*None->None)"
code-creation,Stub,11,0x16d0d8a0,94,"BinaryOpICStub(BIT_XOR:None*None->None)"
code-creation,Stub,11,0x16d0d900,94,"BinaryOpICStub(BIT_XOR_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x16d0d960,94,"BinaryOpICStub(BIT_XOR_ReuseRight:None*None->None)"
code-creation,Stub,11,0x16d0d9c0,94,"BinaryOpICStub(BIT_AND:None*None->None)"
code-creation,Stub,11,0x16d0da20,94,"BinaryOpICStub(BIT_AND_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x16d0da80,94,"BinaryOpICStub(BIT_AND_ReuseRight:None*None->None)"
code-creation,Stub,11,0x16d0dae0,94,"BinaryOpICStub(SHL:None*None->None)"
code-creation,Stub,11,0x16d0db40,94,"BinaryOpICStub(SHL_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x16d0dba0,94,"BinaryOpICStub(SHL_ReuseRight:None*None->None)"
code-creation,Stub,11,0x16d0dc00,94,"BinaryOpICStub(SAR:None*None->None)"
code-creation,Stub,11,0x16d0dc60,94,"BinaryOpICStub(SAR_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x16d0dcc0,94,"BinaryOpICStub(SAR_ReuseRight:None*None->None)"
code-creation,Stub,11,0x16d0dd20,94,"BinaryOpICStub(SHR:None*None->None)"
code-creation,Stub,11,0x16d0dd80,94,"BinaryOpICStub(SHR_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x16d0dde0,94,"BinaryOpICStub(SHR_ReuseRight:None*None->None)"
code-creation,Stub,11,0x16d0de40,94,"BinaryOpICStub(ROR:None*None->None)"
code-creation,Stub,11,0x16d0dea0,94,"BinaryOpICStub(ROR_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x16d0df00,94,"BinaryOpICStub(ROR_ReuseRight:None*None->None)"
code-creation,Stub,11,0x16d0df60,94,"BinaryOpICStub(ADD:None*None->None)"
code-creation,Stub,11,0x16d0dfc0,94,"BinaryOpICStub(ADD_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x16d0e020,94,"BinaryOpICStub(ADD_ReuseRight:None*None->None)"
code-creation,Stub,11,0x16d0e080,94,"BinaryOpICStub(SUB:None*None->None)"
code-creation,Stub,11,0x16d0e0e0,94,"BinaryOpICStub(SUB_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x16d0e140,94,"BinaryOpICStub(SUB_ReuseRight:None*None->None)"
code-creation,Stub,11,0x16d0e1a0,94,"BinaryOpICStub(MUL:None*None->None)"
code-creation,Stub,11,0x16d0e200,94,"BinaryOpICStub(MUL_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x16d0e260,94,"BinaryOpICStub(MUL_ReuseRight:None*None->None)"
code-creation,Stub,11,0x16d0e2c0,94,"BinaryOpICStub(DIV:None*None->None)"
code-creation,Stub,11,0x16d0e320,94,"BinaryOpICStub(DIV_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x16d0e380,94,"BinaryOpICStub(DIV_ReuseRight:None*None->None)"
code-creation,Stub,11,0x16d0e3e0,94,"BinaryOpICStub(MOD:None*None->None)"
code-creation,Stub,11,0x16d0e440,94,"BinaryOpICStub(MOD_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x16d0e4a0,94,"BinaryOpICStub(MOD_ReuseRight:None*None->None)"
code-creation,Stub,11,0x16d0e500,425,"BinaryOpICStub(ADD:Int32*Int32->Int32)"
code-creation,Stub,11,0x16d0e6c0,469,"BinaryOpICStub(ADD_ReuseLeft:Int32*Int32->Int32)"
code-creation,Stub,11,0x16d0e8a0,405,"BinaryOpICStub(ADD:Int32*Int32->Number)"
code-creation,Stub,11,0x16d0ea40,437,"BinaryOpICStub(ADD_ReuseLeft:Int32*Int32->Number)"
code-creation,Stub,11,0x16d0ec00,373,"BinaryOpICStub(ADD:Int32*Number->Number)"
code-creation,Stub,11,0x16d0ed80,405,"BinaryOpICStub(ADD_ReuseLeft:Int32*Number->Number)"
code-creation,Stub,11,0x16d0ef20,405,"BinaryOpICStub(ADD_ReuseRight:Int32*Number->Number)"
code-creation,Stub,11,0x16d0f0c0,357,"BinaryOpICStub(ADD:Int32*Smi->Int32)"
code-creation,Stub,11,0x16d0f240,401,"BinaryOpICStub(ADD_ReuseLeft:Int32*Smi->Int32)"
code-creation,Stub,11,0x16d0f3e0,357,"BinaryOpICStub(ADD_ReuseRight:Int32*Smi->Int32)"
code-creation,Stub,11,0x16d0f560,373,"BinaryOpICStub(ADD:Number*Int32->Number)"
code-creation,Stub,11,0x16d0f6e0,409,"BinaryOpICStub(ADD_ReuseLeft:Number*Int32->Number)"
code-creation,Stub,11,0x16d0f880,405,"BinaryOpICStub(ADD_ReuseRight:Number*Int32->Number)"
code-creation,Stub,11,0x16d0fa20,317,"BinaryOpICStub(ADD:Number*Number->Number)"
code-creation,Stub,11,0x16d0fb60,349,"BinaryOpICStub(ADD_ReuseLeft:Number*Number->Number)"
code-creation,Stub,11,0x16d0fcc0,349,"BinaryOpICStub(ADD_ReuseRight:Number*Number->Number)"
code-creation,Stub,11,0x16d0fe20,285,"BinaryOpICStub(ADD:Number*Smi->Number)"
code-creation,Stub,11,0x16d0ff40,321,"BinaryOpICStub(ADD_ReuseLeft:Number*Smi->Number)"
code-creation,Stub,11,0x16d100a0,285,"BinaryOpICStub(ADD_ReuseRight:Number*Smi->Number)"
code-creation,Stub,11,0x16d101c0,337,"BinaryOpICStub(ADD:Smi*Int32->Int32)"
code-creation,Stub,11,0x16d10320,337,"BinaryOpICStub(ADD_ReuseLeft:Smi*Int32->Int32)"
code-creation,Stub,11,0x16d10480,341,"BinaryOpICStub(ADD:Smi*Int32->Number)"
code-creation,Stub,11,0x16d105e0,285,"BinaryOpICStub(ADD:Smi*Number->Number)"
code-creation,Stub,11,0x16d10700,285,"BinaryOpICStub(ADD_ReuseLeft:Smi*Number->Number)"
code-creation,Stub,11,0x16d10820,317,"BinaryOpICStub(ADD_ReuseRight:Smi*Number->Number)"
code-creation,Stub,11,0x16d10960,261,"BinaryOpICStub(ADD_ReuseLeft:Smi*Smi->Int32)"
code-creation,Stub,11,0x16d10a80,148,"BinaryOpICStub(ADD_ReuseRight:Smi*Smi->Smi)"
code-creation,Stub,2,0x16d10b20,172,"DoubleToIStub"
code-creation,Stub,2,0x16d10be0,172,"DoubleToIStub"
code-creation,Stub,11,0x16d10ca0,493,"BinaryOpICStub(BIT_AND:Int32*Int32->Int32)"
code-creation,Stub,11,0x16d10ea0,533,"BinaryOpICStub(BIT_AND_ReuseLeft:Int32*Int32->Int32)"
code-creation,Stub,11,0x16d110c0,533,"BinaryOpICStub(BIT_AND_ReuseRight:Int32*Int32->Int32)"
code-creation,Stub,11,0x16d112e0,404,"BinaryOpICStub(BIT_AND:Int32*Int32->Smi)"
code-creation,Stub,11,0x16d11480,404,"BinaryOpICStub(BIT_AND_ReuseRight:Int32*Int32->Smi)"
code-creation,Stub,11,0x16d11620,389,"BinaryOpICStub(BIT_AND:Int32*Smi->Int32)"
code-creation,Stub,11,0x16d117c0,389,"BinaryOpICStub(BIT_AND_ReuseRight:Int32*Smi->Int32)"
code-creation,Stub,11,0x16d11960,280,"BinaryOpICStub(BIT_AND:Int32*Smi->Smi)"
code-creation,Stub,11,0x16d11a80,280,"BinaryOpICStub(BIT_AND_ReuseLeft:Int32*Smi->Smi)"
code-creation,Stub,11,0x16d11ba0,280,"BinaryOpICStub(BIT_AND_ReuseRight:Int32*Smi->Smi)"
code-creation,Stub,11,0x16d11cc0,533,"BinaryOpICStub(BIT_AND_ReuseRight:Number*Int32->Int32)"
code-creation,Stub,11,0x16d11ee0,280,"BinaryOpICStub(BIT_AND:Number*Smi->Smi)"
code-creation,Stub,11,0x16d12000,280,"BinaryOpICStub(BIT_AND_ReuseRight:Number*Smi->Smi)"
code-creation,Stub,11,0x16d12120,389,"BinaryOpICStub(BIT_AND:Smi*Int32->Int32)"
code-creation,Stub,11,0x16d122c0,280,"BinaryOpICStub(BIT_AND_ReuseRight:Smi*Int32->Smi)"
code-creation,Stub,11,0x16d123e0,280,"BinaryOpICStub(BIT_AND_ReuseRight:Smi*Number->Smi)"
code-creation,Stub,11,0x16d12500,136,"BinaryOpICStub(BIT_AND:Smi*Smi->Smi)"
code-creation,Stub,11,0x16d125a0,136,"BinaryOpICStub(BIT_AND_ReuseLeft:Smi*Smi->Smi)"
code-creation,Stub,11,0x16d12640,136,"BinaryOpICStub(BIT_AND_ReuseRight:Smi*Smi->Smi)"
code-creation,Stub,11,0x16d126e0,533,"BinaryOpICStub(BIT_OR_ReuseLeft:Int32*Int32->Int32)"
code-creation,Stub,11,0x16d12900,533,"BinaryOpICStub(BIT_OR_ReuseRight:Int32*Int32->Int32)"
code-creation,Stub,11,0x16d12b20,404,"BinaryOpICStub(BIT_OR_ReuseLeft:Int32*Int32->Smi)"
code-creation,Stub,11,0x16d12cc0,389,"BinaryOpICStub(BIT_OR:Int32*Smi->Int32)"
code-creation,Stub,11,0x16d12e60,429,"BinaryOpICStub(BIT_OR_ReuseLeft:Int32*Smi->Int32)"
code-creation,Stub,11,0x16d13020,389,"BinaryOpICStub(BIT_OR_ReuseRight:Int32*Smi->Int32)"
code-creation,Stub,11,0x16d131c0,280,"BinaryOpICStub(BIT_OR:Int32*Smi->Smi)"
code-creation,Stub,11,0x16d132e0,280,"BinaryOpICStub(BIT_OR_ReuseRight:Int32*Smi->Smi)"
code-creation,Stub,11,0x16d13400,389,"BinaryOpICStub(BIT_OR:Number*Smi->Int32)"
code-creation,Stub,11,0x16d135a0,429,"BinaryOpICStub(BIT_OR_ReuseLeft:Number*Smi->Int32)"
code-creation,Stub,11,0x16d13760,389,"BinaryOpICStub(BIT_OR_ReuseRight:Number*Smi->Int32)"
code-creation,Stub,11,0x16d13900,280,"BinaryOpICStub(BIT_OR:Number*Smi->Smi)"
code-creation,Stub,11,0x16d13a20,280,"BinaryOpICStub(BIT_OR_ReuseLeft:Number*Smi->Smi)"
code-creation,Stub,11,0x16d13b40,389,"BinaryOpICStub(BIT_OR_ReuseLeft:Smi*Int32->Int32)"
code-creation,Stub,11,0x16d13ce0,429,"BinaryOpICStub(BIT_OR_ReuseRight:Smi*Int32->Int32)"
code-creation,Stub,11,0x16d13ea0,280,"BinaryOpICStub(BIT_OR_ReuseRight:Smi*Int32->Smi)"
code-creation,Stub,11,0x16d13fc0,136,"BinaryOpICStub(BIT_OR_ReuseLeft:Smi*Smi->Smi)"
